GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,total_population
G1700850,1870,Illinois,170,Jo Daviess,850,Jo Daviess,27820
G1700870,1870,Illinois,170,Johnson,870,Johnson,11248
G1700890,1870,Illinois,170,Kane,890,Kane,39091
G1700910,1870,Illinois,170,Kankakee,910,Kankakee,24352
G1700930,1870,Illinois,170,Kendall,930,Kendall,12399
G1700950,1870,Illinois,170,Knox,950,Knox,39522
G1700970,1870,Illinois,170,Lake,970,Lake,21014
G1700990,1870,Illinois,170,La Salle,990,La Salle,60792
G1701010,1870,Illinois,170,Lawrence,1010,Lawrence,12533
G1701030,1870,Illinois,170,Lee,1030,Lee,27171
G1701050,1870,Illinois,170,Livingston,1050,Livingston,31471
G1701070,1870,Illinois,170,Logan,1070,Logan,23053
G1701090,1870,Illinois,170,McDonough,1090,Mcdonough,26509
G1701110,1870,Illinois,170,McHenry,1110,Mchenry,23762
G1701130,1870,Illinois,170,McLean,1130,Mclean,53988
G1701150,1870,Illinois,170,Macon,1150,Macon,26481
G1701170,1870,Illinois,170,Macoupin,1170,Macoupin,32726
G1701190,1870,Illinois,170,Madison,1190,Madison,44131
G1701210,1870,Illinois,170,Marion,1210,Marion,20622
G1701230,1870,Illinois,170,Marshall,1230,Marshall,16956
G1701250,1870,Illinois,170,Mason,1250,Mason,16184
G1701270,1870,Illinois,170,Massac,1270,Massac,9581
G1701290,1870,Illinois,170,Menard,1290,Menard,11735
G1701310,1870,Illinois,170,Mercer,1310,Mercer,18769
G1701330,1870,Illinois,170,Monroe,1330,Monroe,12982
G1701350,1870,Illinois,170,Montgomery,1350,Montgomery,25314
G1701370,1870,Illinois,170,Morgan,1370,Morgan,28463
G1701390,1870,Illinois,170,Moultrie,1390,Moultrie,10385
G1701410,1870,Illinois,170,Ogle,1410,Ogle,27492
G1701430,1870,Illinois,170,Peoria,1430,Peoria,47540
G1701450,1870,Illinois,170,Perry,1450,Perry,13723
G1701470,1870,Illinois,170,Piatt,1470,Piatt,10953
G1701490,1870,Illinois,170,Pike,1490,Pike,30768
G1701510,1870,Illinois,170,Pope,1510,Pope,11437
G1701530,1870,Illinois,170,Pulaski,1530,Pulaski,8752
G1701550,1870,Illinois,170,Putnam,1550,Putnam,6280
G1701570,1870,Illinois,170,Randolph,1570,Randolph,20859
G1701590,1870,Illinois,170,Richland,1590,Richland,12803
G1701610,1870,Illinois,170,Rock Island,1610,Rock Island,29783
G1701630,1870,Illinois,170,St Clair,1630,St Clair,51068
G1701650,1870,Illinois,170,Saline,1650,Saline,12714
G1701670,1870,Illinois,170,Sangamon,1670,Sangamon,46352
G1701690,1870,Illinois,170,Schuyler,1690,Schuyler,17419
G1701710,1870,Illinois,170,Scott,1710,Scott,10530
G1701730,1870,Illinois,170,Shelby,1730,Shelby,25476
G1701750,1870,Illinois,170,Stark,1750,Stark,10751
G1701770,1870,Illinois,170,Stephenson,1770,Stephenson,30608
G1701790,1870,Illinois,170,Tazewell,1790,Tazewell,27903
G1701810,1870,Illinois,170,Union,1810,Union,16518
G1701830,1870,Illinois,170,Vermilion,1830,Vermilion,30388
G1701850,1870,Illinois,170,Wabash,1850,Wabash,8841
G1701870,1870,Illinois,170,Warren,1870,Warren,23174
G1701890,1870,Illinois,170,Washington,1890,Washington,17599
G1701910,1870,Illinois,170,Wayne,1910,Wayne,19758
G1701930,1870,Illinois,170,White,1930,White,16846
G1701950,1870,Illinois,170,Whiteside,1950,Whiteside,27503
G1701970,1870,Illinois,170,Will,1970,Will,43013
G1701990,1870,Illinois,170,Williamson,1990,Williamson,17329
G1702010,1870,Illinois,170,Winnebago,2010,Winnebago,29301
G1702030,1870,Illinois,170,Woodford,2030,Woodford,18956
G1800010,1870,Indiana,180,Adams,10,Adams,11382
G1800030,1870,Indiana,180,Allen,30,Allen,43494
G1800050,1870,Indiana,180,Bartholomew,50,Bartholomew,21133
G1800070,1870,Indiana,180,Benton,70,Benton,5615
G1800090,1870,Indiana,180,Blackford,90,Blackford,6272
G1800110,1870,Indiana,180,Boone,110,Boone,22593
G1800130,1870,Indiana,180,Brown,130,Brown,8681
G1800150,1870,Indiana,180,Carroll,150,Carroll,16152
G1800170,1870,Indiana,180,Cass,170,Cass,24193
G1800190,1870,Indiana,180,Clark,190,Clark,24770
G1800210,1870,Indiana,180,Clay,210,Clay,19084
G1800230,1870,Indiana,180,Clinton,230,Clinton,17330
G1800250,1870,Indiana,180,Crawford,250,Crawford,9851
G1800270,1870,Indiana,180,Daviess,270,Daviess,16747
G1800290,1870,Indiana,180,Dearborn,290,Dearborn,24116
G1800310,1870,Indiana,180,Decatur,310,Decatur,19053
G1800330,1870,Indiana,180,DeKalb,330,De Kalb,17167
G1800350,1870,Indiana,180,Delaware,350,Delaware,19030
G1800370,1870,Indiana,180,Dubois,370,Dubois,12597
G1800390,1870,Indiana,180,Elkhart,390,Elkhart,26026
G1800410,1870,Indiana,180,Fayette,410,Fayette,10476
G1800430,1870,Indiana,180,Floyd,430,Floyd,23300
G1800450,1870,Indiana,180,Fountain,450,Fountain,16389
G1800470,1870,Indiana,180,Franklin,470,Franklin,20223
G1800490,1870,Indiana,180,Fulton,490,Fulton,12726
G1800510,1870,Indiana,180,Gibson,510,Gibson,17371
G1800530,1870,Indiana,180,Grant,530,Grant,18487
G1800550,1870,Indiana,180,Greene,550,Greene,19514
G1800570,1870,Indiana,180,Hamilton,570,Hamilton,20882
G1800590,1870,Indiana,180,Hancock,590,Hancock,15123
G1800610,1870,Indiana,180,Harrison,610,Harrison,19913
G1800630,1870,Indiana,180,Hendricks,630,Hendricks,20277
G1800650,1870,Indiana,180,Henry,650,Henry,22986
G1800670,1870,Indiana,180,Howard,670,Howard,15847
G1800690,1870,Indiana,180,Huntington,690,Huntington,19036
G1800710,1870,Indiana,180,Jackson,710,Jackson,18974
G1800730,1870,Indiana,180,Jasper,730,Jasper,6354
G1800750,1870,Indiana,180,Jay,750,Jay,15000
G1800770,1870,Indiana,180,Jefferson,770,Jefferson,29741
G1800790,1870,Indiana,180,Jennings,790,Jennings,16218
G1800810,1870,Indiana,180,Johnson,810,Johnson,18366
G1800830,1870,Indiana,180,Knox,830,Knox,21562
G1800850,1870,Indiana,180,Kosciusko,850,Kosciusko,23531
G1800870,1870,Indiana,180,Lagrange,870,Lagrange,14148
G1800890,1870,Indiana,180,Lake,890,Lake,12339
G1800910,1870,Indiana,180,LaPorte,910,Laporte,27062
G1800930,1870,Indiana,180,Lawrence,930,Lawrence,14628
G1800950,1870,Indiana,180,Madison,950,Madison,22770
G1800970,1870,Indiana,180,Marion,970,Marion,71939
G1800990,1870,Indiana,180,Marshall,990,Marshall,20211
G1801010,1870,Indiana,180,Martin,1010,Martin,11103
G1801030,1870,Indiana,180,Miami,1030,Miami,21052
G1801050,1870,Indiana,180,Monroe,1050,Monroe,14168
G1801070,1870,Indiana,180,Montgomery,1070,Montgomery,23765
G1801090,1870,Indiana,180,Morgan,1090,Morgan,17528
G1801110,1870,Indiana,180,Newton,1110,Newton,5829
G1801130,1870,Indiana,180,Noble,1130,Noble,20389
G1801150,1870,Indiana,180,Ohio,1150,Ohio,5837
G1801170,1870,Indiana,180,Orange,1170,Orange,13497
G1801190,1870,Indiana,180,Owen,1190,Owen,16137
G1801210,1870,Indiana,180,Parke,1210,Parke,18166
G1801230,1870,Indiana,180,Perry,1230,Perry,14801
G1801250,1870,Indiana,180,Pike,1250,Pike,13779
G1801270,1870,Indiana,180,Porter,1270,Porter,13942
G1801290,1870,Indiana,180,Posey,1290,Posey,19185
G1801310,1870,Indiana,180,Pulaski,1310,Pulaski,7801
G1801330,1870,Indiana,180,Putnam,1330,Putnam,21514
G1801350,1870,Indiana,180,Randolph,1350,Randolph,22862
G1801370,1870,Indiana,180,Ripley,1370,Ripley,20977
G1801390,1870,Indiana,180,Rush,1390,Rush,17626
G1801410,1870,Indiana,180,St Joseph,1410,St Joseph,25322
G1801430,1870,Indiana,180,Scott,1430,Scott,7873
G1801450,1870,Indiana,180,Shelby,1450,Shelby,21892
G1801470,1870,Indiana,180,Spencer,1470,Spencer,17998
G1801490,1870,Indiana,180,Starke,1490,Starke,3888
G1801510,1870,Indiana,180,Steuben,1510,Steuben,12854
G1801530,1870,Indiana,180,Sullivan,1530,Sullivan,18453
G1801550,1870,Indiana,180,Switzerland,1550,Switzerland,12134
G1801570,1870,Indiana,180,Tippecanoe,1570,Tippecanoe,33515
G1801590,1870,Indiana,180,Tipton,1590,Tipton,11953
G1801610,1870,Indiana,180,Union,1610,Union,6341
G1801630,1870,Indiana,180,Vanderburgh,1630,Vanderburgh,33145
G1801650,1870,Indiana,180,Vermillion,1650,Vermillion,10840
G1801670,1870,Indiana,180,Vigo,1670,Vigo,33549
G1801690,1870,Indiana,180,Wabash,1690,Wabash,21305
G1801710,1870,Indiana,180,Warren,1710,Warren,10204
G1801730,1870,Indiana,180,Warrick,1730,Warrick,17653
G1801750,1870,Indiana,180,Washington,1750,Washington,18495
G1801770,1870,Indiana,180,Wayne,1770,Wayne,34048
G1801790,1870,Indiana,180,Wells,1790,Wells,13585
G1801810,1870,Indiana,180,White,1810,White,10554
G1801830,1870,Indiana,180,Whitley,1830,Whitley,14399
G1900010,1870,Iowa,190,Adair,10,Adair,3982
G1900030,1870,Iowa,190,Adams,30,Adams,4614
G1900050,1870,Iowa,190,Allamakee,50,Allamakee,17868
G1900070,1870,Iowa,190,Appanoose,70,Appanoose,16456
G1900090,1870,Iowa,190,Audubon,90,Audubon,1212
G1900110,1870,Iowa,190,Benton,110,Benton,22454
G1900130,1870,Iowa,190,Black Hawk,130,Black Hawk,21706
G1900150,1870,Iowa,190,Boone,150,Boone,14584
G1900170,1870,Iowa,190,Bremer,170,Bremer,12528
G1900190,1870,Iowa,190,Buchanan,190,Buchanan,17034
G1900210,1870,Iowa,190,Buena Vista,210,Buena Vista,1585
G1900230,1870,Iowa,190,Butler,230,Butler,9951
G1900250,1870,Iowa,190,Calhoun,250,Calhoun,1602
G1900270,1870,Iowa,190,Carroll,270,Carroll,2451
G1900290,1870,Iowa,190,Cass,290,Cass,5464
G1900310,1870,Iowa,190,Cedar,310,Cedar,19731
G1900330,1870,Iowa,190,Cerro Gordo,330,Cerro Gordo,4722
G1900350,1870,Iowa,190,Cherokee,350,Cherokee,1967
G1900370,1870,Iowa,190,Chickasaw,370,Chickasaw,10180
G1900390,1870,Iowa,190,Clarke,390,Clarke,8735
G1900410,1870,Iowa,190,Clay,410,Clay,1523
G1900430,1870,Iowa,190,Clayton,430,Clayton,27771
G1900450,1870,Iowa,190,Clinton,450,Clinton,35357
G1900470,1870,Iowa,190,Crawford,470,Crawford,2530
G1900490,1870,Iowa,190,Dallas,490,Dallas,12019
G1900510,1870,Iowa,190,Davis,510,Davis,15565
G1900530,1870,Iowa,190,Decatur,530,Decatur,12018
G1900550,1870,Iowa,190,Delaware,550,Delaware,17432
G1900570,1870,Iowa,190,Des Moines,570,Des Moines,27256
G1900590,1870,Iowa,190,Dickinson,590,Dickinson,1389
G1900610,1870,Iowa,190,Dubuque,610,Dubuque,38969
G1900630,1870,Iowa,190,Emmet,630,Emmet,1392
G1900650,1870,Iowa,190,Fayette,650,Fayette,16973
G1900670,1870,Iowa,190,Floyd,670,Floyd,10768
G1900690,1870,Iowa,190,Franklin,690,Franklin,4738
G1900710,1870,Iowa,190,Fremont,710,Fremont,11174
G1900730,1870,Iowa,190,Greene,730,Greene,4627
G1900750,1870,Iowa,190,Grundy,750,Grundy,6399
G1900770,1870,Iowa,190,Guthrie,770,Guthrie,7061
G1900790,1870,Iowa,190,Hamilton,790,Hamilton,6055
G1900810,1870,Iowa,190,Hancock,810,Hancock,999
G1900830,1870,Iowa,190,Hardin,830,Hardin,13684
G1900850,1870,Iowa,190,Harrison,850,Harrison,8931
G1900870,1870,Iowa,190,Henry,870,Henry,21463
G1900890,1870,Iowa,190,Howard,890,Howard,6282
G1900910,1870,Iowa,190,Humboldt,910,Humboldt,2596
G1900930,1870,Iowa,190,Ida,930,Ida,226
G1900950,1870,Iowa,190,Iowa,950,Iowa,16644
G1900970,1870,Iowa,190,Jackson,970,Jackson,22619
G1900990,1870,Iowa,190,Jasper,990,Jasper,22116
G1901010,1870,Iowa,190,Jefferson,1010,Jefferson,17839
G1901030,1870,Iowa,190,Johnson,1030,Johnson,24898
G1901050,1870,Iowa,190,Jones,1050,Jones,19731
G1901070,1870,Iowa,190,Keokuk,1070,Keokuk,19434
G1901090,1870,Iowa,190,Kossuth,1090,Kossuth,3351
G1901110,1870,Iowa,190,Lee,1110,Lee,37210
G1901130,1870,Iowa,190,Linn,1130,Linn,31080
G1901150,1870,Iowa,190,Louisa,1150,Louisa,12877
G1901170,1870,Iowa,190,Lucas,1170,Lucas,10388
G1901190,1870,Iowa,190,Lyon,1190,Lyon,221
G1901210,1870,Iowa,190,Madison,1210,Madison,13884
G1901230,1870,Iowa,190,Mahaska,1230,Mahaska,22508
G1901250,1870,Iowa,190,Marion,1250,Marion,24436
G1901270,1870,Iowa,190,Marshall,1270,Marshall,17576
G1901290,1870,Iowa,190,Mills,1290,Mills,8718
G1901310,1870,Iowa,190,Mitchell,1310,Mitchell,9582
G1901330,1870,Iowa,190,Monona,1330,Monona,3654
G1901350,1870,Iowa,190,Monroe,1350,Monroe,12724
G1901370,1870,Iowa,190,Montgomery,1370,Montgomery,5934
G1901390,1870,Iowa,190,Muscatine,1390,Muscatine,21688
G1901410,1870,Iowa,190,O Brien,1410,O Brien,715
G1901430,1870,Iowa,190,Osceola,1430,Osceola,
G1901450,1870,Iowa,190,Page,1450,Page,9975
G1901470,1870,Iowa,190,Palo Alto,1470,Palo Alto,1336
G1901490,1870,Iowa,190,Plymouth,1490,Plymouth,2199
G1901510,1870,Iowa,190,Pocahontas,1510,Pocahontas,1446
G1901530,1870,Iowa,190,Polk,1530,Polk,27857
G1901550,1870,Iowa,190,Pottawattamie,1550,Pottawattamie,16893
G1901570,1870,Iowa,190,Poweshiek,1570,Poweshiek,15581
G1901590,1870,Iowa,190,Ringgold,1590,Ringgold,5691
G1901610,1870,Iowa,190,Sac,1610,Sac,1411
G1901630,1870,Iowa,190,Scott,1630,Scott,38599
G1901650,1870,Iowa,190,Shelby,1650,Shelby,2540
G1901670,1870,Iowa,190,Sioux,1670,Sioux,576
G1901690,1870,Iowa,190,Story,1690,Story,11651
G1901710,1870,Iowa,190,Tama,1710,Tama,16131
G1901730,1870,Iowa,190,Taylor,1730,Taylor,6989
G1901750,1870,Iowa,190,Union,1750,Union,5986
G1901770,1870,Iowa,190,Van Buren,1770,Van Buren,17672
G1901790,1870,Iowa,190,Wapello,1790,Wapello,22346
G1901810,1870,Iowa,190,Warren,1810,Warren,17980
G1901830,1870,Iowa,190,Washington,1830,Washington,18952
G1901850,1870,Iowa,190,Wayne,1850,Wayne,11287
G1901870,1870,Iowa,190,Webster,1870,Webster,10484
G1901890,1870,Iowa,190,Winnebago,1890,Winnebago,1562
G1901910,1870,Iowa,190,Winneshiek,1910,Winneshiek,23570
G1901930,1870,Iowa,190,Woodbury,1930,Woodbury,6172
G1901950,1870,Iowa,190,Worth,1950,Worth,2892
G1901970,1870,Iowa,190,Wright,1970,Wright,2392
G2000010,1870,Kansas,200,Allen,10,Allen,7022
G2000030,1870,Kansas,200,Anderson,30,Anderson,5220
G2000050,1870,Kansas,200,Atchison,50,Atchison,15507
G2000090,1870,Kansas,200,Barton,90,Barton,2
G2000110,1870,Kansas,200,Bourbon,110,Bourbon,15076
G2000130,1870,Kansas,200,Brown,130,Brown,6823
G2000150,1870,Kansas,200,Butler,150,Butler,3035
G2000170,1870,Kansas,200,Chase,170,Chase,1975
G2000210,1870,Kansas,200,Cherokee,210,Cherokee,11038
G2000270,1870,Kansas,200,Clay,270,Clay,2942
G2000290,1870,Kansas,200,Cloud,290,Cloud,2323
G2000310,1870,Kansas,200,Coffey,310,Coffey,6201
G2000350,1870,Kansas,200,Cowley,350,Cowley,1175
G2000370,1870,Kansas,200,Crawford,370,Crawford,8160
G2000375,1870,Kansas,200,Davis,375,Davis,5526
G2000410,1870,Kansas,200,Dickinson,410,Dickinson,3043
G2000430,1870,Kansas,200,Doniphan,430,Doniphan,13969
G2000450,1870,Kansas,200,Douglas,450,Douglas,20592
G2000510,1870,Kansas,200,Ellis,510,Ellis,1336
G2000530,1870,Kansas,200,Ellsworth,530,Ellsworth,1185
G2000570,1870,Kansas,200,Ford,570,Ford,427
G2000590,1870,Kansas,200,Franklin,590,Franklin,10385
G2000730,1870,Kansas,200,Greenwood,730,Greenwood,3484
G2000833,1870,Kansas,200,Howard,833,Howard,2794
G2000850,1870,Kansas,200,Jackson,850,Jackson,6053
G2000870,1870,Kansas,200,Jefferson,870,Jefferson,12526
G2000890,1870,Kansas,200,Jewell,890,Jewell,207
G2000910,1870,Kansas,200,Johnson,910,Johnson,13684
G2000990,1870,Kansas,200,Labette,990,Labette,9973
G2001030,1870,Kansas,200,Leavenworth,1030,Leavenworth,32444
G2001050,1870,Kansas,200,Lincoln,1050,Lincoln,516
G2001070,1870,Kansas,200,Linn,1070,Linn,12174
G2001110,1870,Kansas,200,Lyon,1110,Lyon,8014
G2001130,1870,Kansas,200,McPherson,1130,Mcpherson,738
G2001150,1870,Kansas,200,Marion,1150,Marion,768
G2001170,1870,Kansas,200,Marshall,1170,Marshall,6901
G2001210,1870,Kansas,200,Miami,1210,Miami,11725
G2001230,1870,Kansas,200,Mitchell,1230,Mitchell,485
G2001250,1870,Kansas,200,Montgomery,1250,Montgomery,7564
G2001270,1870,Kansas,200,Morris,1270,Morris,2225
G2001310,1870,Kansas,200,Nemaha,1310,Nemaha,7339
G2001330,1870,Kansas,200,Neosho,1330,Neosho,10206
G2001350,1870,Kansas,200,Ness,1350,Ness,2
G2001390,1870,Kansas,200,Osage,1390,Osage,7648
G2001410,1870,Kansas,200,Osborne,1410,Osborne,33
G2001430,1870,Kansas,200,Ottawa,1430,Ottawa,2127
G2001450,1870,Kansas,200,Pawnee,1450,Pawnee,179
G2001490,1870,Kansas,200,Pottawatomie,1490,Pottawatomie,7848
G2001570,1870,Kansas,200,Republic,1570,Republic,1281
G2001590,1870,Kansas,200,Rice,1590,Rice,5
G2001610,1870,Kansas,200,Riley,1610,Riley,5105
G2001670,1870,Kansas,200,Russell,1670,Russell,156
G2001690,1870,Kansas,200,Saline,1690,Saline,4246
G2001730,1870,Kansas,200,Sedgwick,1730,Sedgwick,1095
G2001770,1870,Kansas,200,Shawnee,1770,Shawnee,13121
G2001830,1870,Kansas,200,Smith,1830,Smith,66
G2001910,1870,Kansas,200,Sumner,1910,Sumner,22
G2001950,1870,Kansas,200,Trego,1950,Trego,166
G2001970,1870,Kansas,200,Wabaunsee,1970,Wabaunsee,3362
G2001990,1870,Kansas,200,Wallace,1990,Wallace,538
G2002010,1870,Kansas,200,Washington,2010,Washington,4081
G2002050,1870,Kansas,200,Wilson,2050,Wilson,6694
G2002070,1870,Kansas,200,Woodson,2070,Woodson,3827
G2002090,1870,Kansas,200,Wyandotte,2090,Wyandotte,10015
G2100010,1870,Kentucky,210,Adair,10,Adair,11065
G2100030,1870,Kentucky,210,Allen,30,Allen,10296
G2100050,1870,Kentucky,210,Anderson,50,Anderson,5449
G2100070,1870,Kentucky,210,Ballard,70,Ballard,12576
G2100090,1870,Kentucky,210,Barren,90,Barren,17780
G2100110,1870,Kentucky,210,Bath,110,Bath,10145
G2100150,1870,Kentucky,210,Boone,150,Boone,10696
G2100170,1870,Kentucky,210,Bourbon,170,Bourbon,14863
G2100190,1870,Kentucky,210,Boyd,190,Boyd,8573
G2100210,1870,Kentucky,210,Boyle,210,Boyle,9515
G2100230,1870,Kentucky,210,Bracken,230,Bracken,11409
G2100250,1870,Kentucky,210,Breathitt,250,Breathitt,5672
G2100270,1870,Kentucky,210,Breckinridge,270,Breckinridge,13440
G2100290,1870,Kentucky,210,Bullitt,290,Bullitt,7781
G2100310,1870,Kentucky,210,Butler,310,Butler,9404
G2100330,1870,Kentucky,210,Caldwell,330,Caldwell,10826
G2100350,1870,Kentucky,210,Calloway,350,Calloway,9410
G2100370,1870,Kentucky,210,Campbell,370,Campbell,27406
G2100410,1870,Kentucky,210,Carroll,410,Carroll,6189
G2100430,1870,Kentucky,210,Carter,430,Carter,7509
G2100450,1870,Kentucky,210,Casey,450,Casey,8884
G2100470,1870,Kentucky,210,Christian,470,Christian,23227
G2100490,1870,Kentucky,210,Clark,490,Clark,10882
G2100510,1870,Kentucky,210,Clay,510,Clay,8297
G2100530,1870,Kentucky,210,Clinton,530,Clinton,6497
G2100550,1870,Kentucky,210,Crittenden,550,Crittenden,9381
G2100570,1870,Kentucky,210,Cumberland,570,Cumberland,7690
G2100590,1870,Kentucky,210,Daviess,590,Daviess,20714
G2100610,1870,Kentucky,210,Edmonson,610,Edmonson,4459
G2100630,1870,Kentucky,210,Elliott,630,Elliott,4433
G2100650,1870,Kentucky,210,Estill,650,Estill,9198
G2100670,1870,Kentucky,210,Fayette,670,Fayette,26656
G2100690,1870,Kentucky,210,Fleming,690,Fleming,13398
G2100710,1870,Kentucky,210,Floyd,710,Floyd,7877
G2100730,1870,Kentucky,210,Franklin,730,Franklin,15300
G2100750,1870,Kentucky,210,Fulton,750,Fulton,6161
G2100770,1870,Kentucky,210,Gallatin,770,Gallatin,5074
G2100790,1870,Kentucky,210,Garrard,790,Garrard,10376
G2100810,1870,Kentucky,210,Grant,810,Grant,9529
G2100830,1870,Kentucky,210,Graves,830,Graves,19398
G2100850,1870,Kentucky,210,Grayson,850,Grayson,11580
G2100870,1870,Kentucky,210,Green,870,Green,9379
G2100890,1870,Kentucky,210,Greenup,890,Greenup,11463
G2100910,1870,Kentucky,210,Hancock,910,Hancock,6591
G2100930,1870,Kentucky,210,Hardin,930,Hardin,15705
G2100950,1870,Kentucky,210,Harlan,950,Harlan,4415
G2100970,1870,Kentucky,210,Harrison,970,Harrison,12993
G2100990,1870,Kentucky,210,Hart,990,Hart,13687
G2101010,1870,Kentucky,210,Henderson,1010,Henderson,18457
G2101030,1870,Kentucky,210,Henry,1030,Henry,11066
G2101050,1870,Kentucky,210,Hickman,1050,Hickman,8453
G2101070,1870,Kentucky,210,Hopkins,1070,Hopkins,13827
G2101090,1870,Kentucky,210,Jackson,1090,Jackson,4547
G2101110,1870,Kentucky,210,Jefferson,1110,Jefferson,118953
G2101130,1870,Kentucky,210,Jessamine,1130,Jessamine,8638
G2101150,1870,Kentucky,210,Johnson,1150,Johnson,7494
G2101155,1870,Kentucky,210,Josh Bell,1155,Josh Bell,3731
G2101170,1870,Kentucky,210,Kenton,1170,Kenton,36096
G2101210,1870,Kentucky,210,Knox,1210,Knox,8294
G2101230,1870,Kentucky,210,Larue,1230,Larue,8235
G2101250,1870,Kentucky,210,Laurel,1250,Laurel,6016
G2101270,1870,Kentucky,210,Lawrence,1270,Lawrence,8497
G2101290,1870,Kentucky,210,Lee,1290,Lee,3055
G2101330,1870,Kentucky,210,Letcher,1330,Letcher,4608
G2101350,1870,Kentucky,210,Lewis,1350,Lewis,9115
G2101370,1870,Kentucky,210,Lincoln,1370,Lincoln,10947
G2101390,1870,Kentucky,210,Livingston,1390,Livingston,8200
G2101410,1870,Kentucky,210,Logan,1410,Logan,20429
G2101430,1870,Kentucky,210,Lyon,1430,Lyon,6233
G2101450,1870,Kentucky,210,McCracken,1450,Mccracken,13988
G2101490,1870,Kentucky,210,McLean,1490,Mclean,7614
G2101510,1870,Kentucky,210,Madison,1510,Madison,19543
G2101530,1870,Kentucky,210,Magoffin,1530,Magoffin,4684
G2101550,1870,Kentucky,210,Marion,1550,Marion,12838
G2101570,1870,Kentucky,210,Marshall,1570,Marshall,9455
G2101610,1870,Kentucky,210,Mason,1610,Mason,18126
G2101630,1870,Kentucky,210,Meade,1630,Meade,9485
G2101650,1870,Kentucky,210,Menifee,1650,Menifee,1986
G2101670,1870,Kentucky,210,Mercer,1670,Mercer,13144
G2101690,1870,Kentucky,210,Metcalfe,1690,Metcalfe,7934
G2101710,1870,Kentucky,210,Monroe,1710,Monroe,9231
G2101730,1870,Kentucky,210,Montgomery,1730,Montgomery,7557
G2101750,1870,Kentucky,210,Morgan,1750,Morgan,5975
G2101770,1870,Kentucky,210,Muhlenberg,1770,Muhlenberg,12638
G2101790,1870,Kentucky,210,Nelson,1790,Nelson,14804
G2101810,1870,Kentucky,210,Nicholas,1810,Nicholas,9129
G2101830,1870,Kentucky,210,Ohio,1830,Ohio,15561
G2101850,1870,Kentucky,210,Oldham,1850,Oldham,9027
G2101870,1870,Kentucky,210,Owen,1870,Owen,14309
G2101890,1870,Kentucky,210,Owsley,1890,Owsley,3889
G2101910,1870,Kentucky,210,Pendleton,1910,Pendleton,14030
G2101930,1870,Kentucky,210,Perry,1930,Perry,4274
G2101950,1870,Kentucky,210,Pike,1950,Pike,9562
G2101970,1870,Kentucky,210,Powell,1970,Powell,2599
G2101990,1870,Kentucky,210,Pulaski,1990,Pulaski,17670
G2102010,1870,Kentucky,210,Robertson,2010,Robertson,5399
G2102030,1870,Kentucky,210,Rockcastle,2030,Rockcastle,7145
G2102050,1870,Kentucky,210,Rowan,2050,Rowan,2991
G2102070,1870,Kentucky,210,Russell,2070,Russell,5809
G2102090,1870,Kentucky,210,Scott,2090,Scott,11607
G2102110,1870,Kentucky,210,Shelby,2110,Shelby,15733
G2102130,1870,Kentucky,210,Simpson,2130,Simpson,9573
G2102150,1870,Kentucky,210,Spencer,2150,Spencer,5956
G2102170,1870,Kentucky,210,Taylor,2170,Taylor,8226
G2102190,1870,Kentucky,210,Todd,2190,Todd,12612
G2102210,1870,Kentucky,210,Trigg,2210,Trigg,13686
G2102230,1870,Kentucky,210,Trimble,2230,Trimble,5577
G2102250,1870,Kentucky,210,Union,2250,Union,13640
G2102270,1870,Kentucky,210,Warren,2270,Warren,21742
G2102290,1870,Kentucky,210,Washington,2290,Washington,12464
G2102310,1870,Kentucky,210,Wayne,2310,Wayne,10602
G2102330,1870,Kentucky,210,Webster,2330,Webster,10937
G2102350,1870,Kentucky,210,Whitley,2350,Whitley,8278
G2102370,1870,Kentucky,210,Wolfe,2370,Wolfe,3603
G2102390,1870,Kentucky,210,Woodford,2390,Woodford,8240
G2200050,1870,Louisiana,220,Ascension,50,Ascension,11577
G2200070,1870,Louisiana,220,Assumption,70,Assumption,13234
G2200090,1870,Louisiana,220,Avoyelles,90,Avoyelles,12926
G2200130,1870,Louisiana,220,Bienville,130,Bienville,10636
G2200150,1870,Louisiana,220,Bossier,150,Bossier,12675
G2200170,1870,Louisiana,220,Caddo,170,Caddo,21714
G2200190,1870,Louisiana,220,Calcasieu,190,Calcasieu,6733
G2200210,1870,Louisiana,220,Caldwell,210,Caldwell,4820
G2200230,1870,Louisiana,220,Cameron,230,Cameron,1591
G2200235,1870,Louisiana,220,Carroll,235,Carroll,10110
G2200250,1870,Louisiana,220,Catahoula,250,Catahoula,8475
G2200270,1870,Louisiana,220,Claiborne,270,Claiborne,20240
G2200290,1870,Louisiana,220,Concordia,290,Concordia,9977
G2200310,1870,Louisiana,220,De Soto,310,De Soto,14962
G2200330,1870,Louisiana,220,East Baton Rouge,330,East Baton Rouge,17816
G2200370,1870,Louisiana,220,East Feliciana,370,East Feliciana,13499
G2200410,1870,Louisiana,220,Franklin,410,Franklin,5078
G2200430,1870,Louisiana,220,Grant,430,Grant,4517
G2200450,1870,Louisiana,220,Iberia,450,Iberia,9042
G2200470,1870,Louisiana,220,Iberville,470,Iberville,12347
G2200490,1870,Louisiana,220,Jackson,490,Jackson,7646
G2200510,1870,Louisiana,220,Jefferson,510,Jefferson,17767
G2200550,1870,Louisiana,220,Lafayette,550,Lafayette,10388
