GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,AE7001
"G010","1860","Alabama","010",,"Alabama",9
"G050","1860","Arkansas","050",,"Arkansas",10
"G060","1860","California","060",,"California",6
"G090","1860","Connecticut","090",,"Connecticut",36
"G100","1860","Delaware","100",,"Delaware",31
"G120","1860","Florida","120",,"Florida",6
"G130","1860","Georgia","130",,"Georgia",6
"G170","1860","Illinois","170",,"Illinois",20
"G180","1860","Indiana","180",,"Indiana",22
"G190","1860","Iowa","190",,"Iowa",12
"G205","1860","Kansas Territory","205",,"Kansas",7
"G210","1860","Kentucky","210",,"Kentucky",15
"G220","1860","Louisiana","220",,"Louisianna",22
"G230","1860","Maine","230",,"Maine",14
"G240","1860","Maryland","240",,"Maryland",30
"G250","1860","Massachusetts","250",,"Massachusetts",37
"G260","1860","Michigan","260",,"Michigan",23
"G270","1860","Minnesota","270",,"Minnesota",10
"G280","1860","Mississippi","280",,"Mississippi",12
"G290","1860","Missouri","290",,"Missouri",12
"G325","1860","Nevada Territory","325",,"Nevada",5
"G330","1860","New Hampshire","330",,"New Hampshire",19
"G340","1860","New Jersey","340",,"New Jersey",60
"G355","1860","New Mexico Territory","355",,"New Mexico",2
"G360","1860","New York","360",,"New York",38
"G370","1860","North Carolina","370",,"North Carolina",6
"G390","1860","Ohio","390",,"Ohio",33
"G410","1860","Oregon","410",,"Oregon",7
"G420","1860","Pennsylvania","420",,"Pennsylvania",39
"G440","1860","Rhode Island","440",,"Rhode Island",38
"G450","1860","South Carolina","450",,"South Carolina",9
"G470","1860","Tennessee","470",,"Tennessee",13
"G480","1860","Texas","480",,"Texas",3
"G495","1860","Utah Territory","495",,"Utah",15
"G500","1860","Vermont","500",,"Vermont",22
"G510","1860","Virginia","510",,"Virginia",12
"G535","1860","Washington Territory","535",,"Washington",6
"G550","1860","Wisconsin","550",,"Wisconsin",17
